Crop_Name,Disease_Name,Scientific_Name,Disease_Type,Severity,Affected_Plant_Part,Symptoms,Causes,Favorable_Weather,Organic_Treatment,Chemical_Treatment,Recommended_Active_Ingredient,Dosage,Spray_Interval,Prevention,Recovery_Possibility,Estimated_Yield_Loss,Immediate_Farmer_Action,Govt_ICAR_Recommendation,ML_Class_Name,Image_Folder_Name
maize,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Maize___Healthy,Maize___Healthy
maize,Turcicum Leaf Blight,Exserohilum turcicum,Fungal,High,Leaves,Long elliptical tan lesions with wavy margins and water-soaked borders on leaves; lesions coalesce.,Airborne conidia; favoured by moderate temperature and humid conditions.,"Temperature 18–27°C, RH >80%, heavy dew, rainy weather.",Neem oil 2%; Pseudomonas fluorescens spray.,"Mancozeb 75 WP, Zineb 75 WP, Propiconazole 25 EC.",Mancozeb,2.5 g/L water,Every 10–14 days,Grow resistant hybrids; destroy crop residues; avoid late planting.,Yes,10–50%,Spray Mancozeb at first appearance; remove lower diseased leaves.,ICAR recommends Mancozeb 75 WP @ 2.5 g/L for TLB management.,Maize___Turcicum_Leaf_Blight,Maize___Turcicum_Leaf_Blight
maize,Common Rust,Puccinia sorghi,Fungal,Medium,Leaves,Small circular to elongated brick-red pustules on both leaf surfaces; yellow chlorotic areas around pustules.,Airborne urediniospores from alternate host (Oxalis species).,"Temperature 16–23°C, high humidity, heavy dew; prevalent in cooler upland areas.",Neem oil 2% spray.,"Propiconazole 25 EC, Mancozeb 75 WP.",Propiconazole,1 mL/L water,Every 10–14 days,Grow rust-resistant hybrids; early planting; avoid susceptible varieties in high-risk areas.,Yes,5–20%,Spray Propiconazole at first pustule appearance.,ICAR recommends propiconazole-based fungicides for maize rust control.,Maize___Common_Rust,Maize___Common_Rust
maize,Gray Leaf Spot,Cercospora zeae-maydis,Fungal,High,Leaves,Rectangular tan-grey lesions between leaf veins; lesions enlarge and coalesce; premature leaf death.,Airborne and residue-borne conidia; conservation tillage increases risk.,"Temperature 25–30°C, RH >90%, extended leaf wetness periods, poor air circulation.",Neem oil 2%; Trichoderma harzianum soil application.,"Propiconazole 25 EC, Azoxystrobin 23 SC, Tebuconazole 25 WG.",Azoxystrobin,1 mL/L water,Every 10–14 days,Grow resistant hybrids; crop rotation; remove crop residues after harvest.,Yes,10–40%,Spray Propiconazole or Azoxystrobin at disease onset.,ICAR recommends propiconazole-based fungicides for gray leaf spot control.,Maize___Gray_Leaf_Spot,Maize___Gray_Leaf_Spot
tomato,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Tomato___Healthy,Tomato___Healthy
tomato,Early Blight,Alternaria solani,Fungal,High,Leaves/Stem/Fruit,Dark brown target-board concentric ring lesions on older leaves; yellow halo; defoliation; stem canker.,Airborne and seed-borne Alternaria conidia; debris-borne.,"Temperature 24–29°C, high humidity, alternating wet/dry periods, wounded plants.",Neem oil 2%; Copper sulphate 1% spray; Trichoderma seed treatment.,"Mancozeb 75 WP, Chlorothalonil 75 WP, Azoxystrobin 23 SC.",Mancozeb,2.5 g/L water,Every 7–10 days,Use certified disease-free seed; crop rotation; remove crop debris; stake plants for air circulation.,Yes,20–50%,Remove lower infected leaves; spray Mancozeb immediately; improve drainage.,ICAR recommends Mancozeb 75 WP @ 2.5 g/L at 7-day intervals for early blight.,Tomato___Early_Blight,Tomato___Early_Blight
tomato,Late Blight,Phytophthora infestans,Fungal/Oomycete,Very High,Leaves/Stem/Fruit,Irregular water-soaked dark brown patches on leaves; white sporulation on underside; rapid browning and collapse.,Airborne sporangia; water-borne zoospores; highly destructive oomycete.,"Temperature 10–25°C, RH >90%, cool moist weather, foggy conditions.",Copper sulphate 1% spray; remove infected plants; biocontrol with Bacillus subtilis.,"Metalaxyl + Mancozeb 72 WP, Cymoxanil 8% + Mancozeb 64% WP, Dimethomorph 50 WP.",Metalaxyl + Mancozeb,2.5 g/L water,Every 7 days during outbreak,Grow resistant varieties; avoid overhead irrigation; improve air circulation.,Yes (partial),50–100%,Remove and destroy infected plants; spray Metalaxyl immediately; stop overhead irrigation.,ICAR recommends Metalaxyl + Mancozeb 72 WP @ 2.5 g/L for late blight control.,Tomato___Late_Blight,Tomato___Late_Blight
tomato,Leaf Curl Virus,Tomato leaf curl New Delhi virus (ToLCNDV),Viral,Very High,Leaves/Whole Plant,Severe upward curling and cupping of leaves; vein thickening; plant stunting; reduced fruiting.,Transmitted by whitefly (Bemisia tabaci); no mechanical transmission.,Hot dry weather (30–38°C) favoring whitefly; late season planting.,Yellow sticky traps; neem oil 2% spray for whitefly control; silver reflective mulch.,"Imidacloprid 17.8 SL, Thiamethoxam 25 WG for whitefly vector control.",Imidacloprid,0.3 mL/L water,Every 10–15 days,"Use virus-tolerant varieties (Arka Rakshak, Pusa Rohini); control whitefly; rogue infected plants.",No,40–80%,Remove infected plants; spray systemic insecticide for whitefly; use reflective mulch.,ICAR recommends whitefly management and virus-tolerant tomato varieties.,Tomato___Leaf_Curl_Virus,Tomato___Leaf_Curl_Virus
tomato,Bacterial Wilt,Ralstonia solanacearum,Bacterial,Very High,Vascular/Whole Plant,Sudden wilting of entire plant; plant recovers at night; brown slimy ooze from cut stem in water.,Soil-borne bacteria; enters through roots; spreads via irrigation water.,Temperature 28–35°C; high soil moisture; sandy loam soils.,Soil solarization 30–40 days; application of lime; Pseudomonas fluorescens biocontrol.,"Copper oxychloride 50 WP drench, Streptomycin + Tetracycline.",Copper oxychloride,3 g/L water (soil drench),At first wilt sign,Soil solarization; crop rotation with non-solanaceous crops; use resistant rootstocks.,No (rogue out plants),50–100%,Remove and destroy wilted plants; soil drench with Copper oxychloride; avoid reinfection.,ICAR recommends soil solarization and Pseudomonas fluorescens for bacterial wilt management.,Tomato___Bacterial_Wilt,Tomato___Bacterial_Wilt
tomato,Septoria Leaf Spot,Septoria lycopersici,Fungal,Medium,Leaves,Numerous small circular spots with white/grey centres and dark brown borders on lower leaves; defoliation.,Fungal; rain-splashed spores; crop debris; seed-borne.,"Temperature 20–25°C, RH >90%, rainy conditions, overhead irrigation.",Neem oil 2%; Copper sulphate spray.,"Mancozeb 75 WP, Chlorothalonil 75 WP, Copper oxychloride 50 WP.",Chlorothalonil,2 g/L water,Every 7–10 days,Avoid overhead irrigation; stake plants; destroy crop debris; use clean seed.,Yes,10–30%,Remove lower infected leaves; spray Chlorothalonil or Mancozeb.,ICAR recommends Mancozeb or Chlorothalonil for Septoria leaf spot management.,Tomato___Septoria_Leaf_Spot,Tomato___Septoria_Leaf_Spot
