Crop,Category,Growth_Stage,Problem,Recommended_Product,Active_Ingredient,Application_Method,Dose_Per_Acre,Cost_Per_Unit_INR,Unit,Preventive,Weather_Trigger,Remarks
Rice,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Rice,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Rice,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Wheat,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Wheat,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Wheat,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Maize,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Maize,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Maize,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Cotton,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Cotton,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Cotton,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Groundnut,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Groundnut,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Groundnut,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Sugarcane,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Sugarcane,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Sugarcane,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Potato,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Potato,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Potato,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Chickpea,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Chickpea,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
Chickpea,Disease Prevention,Flowering,Fungal Blight & Leaf Spot,Mancozeb 75% WP,Mancozeb,Foliar Spray,500 g,300,Pack,Yes,Rainfall,Apply preventively during overcast humid weather.
Mustard,Weed Control,Basal / Pre-emergence,Broadleaf & Grass Weeds,Pendimethalin 30% EC,Pendimethalin,Foliar Spray,1.0 Litre,450,Litre,Yes,High Moisture,Spray within 48 hours of sowing.
Mustard,Pest Management,Vegetative,Sucking Pests & Caterpillars,Imidacloprid 17.8% SL,Imidacloprid,Foliar Spray,100 ml,350,Pack,No,High Humidity,Spray on initial appearance of pests.
