Crop,Growth_Stage,Ideal_Nitrogen,Ideal_Phosphorus,Ideal_Potassium,Ideal_pH,Source
acid lime,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
acid lime,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
acid lime,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
adzuki bean,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
adzuki bean,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
adzuki bean,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
allspice,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
allspice,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
allspice,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
almond,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
almond,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
almond,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
aloe vera,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
aloe vera,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
aloe vera,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
amaranth (rajgira),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
amaranth (rajgira),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
amaranth (rajgira),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
amaranthus leaves,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
amaranthus leaves,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
amaranthus leaves,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
amla,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
amla,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
amla,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
aniseed,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
aniseed,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
aniseed,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
apple,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
apple,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
apple,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
apricot,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
apricot,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
apricot,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
arecanut,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
arecanut,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
arecanut,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
arrowroot,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
arrowroot,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
arrowroot,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
