Crop,Season,Growth_Stage,N_kg_ha,P_kg_ha,K_kg_ha,S_kg_ha,Zn_kg_ha,B_kg_ha,Ideal_pH_Min,Ideal_pH_Max,Source
Rice,Kharif,Basal,50,60,30,0,5,0,5.5,7.0,ICAR-IIRR Hyderabad
Rice,Kharif,Vegetative,35,0,0,0,0,0,5.5,7.0,ICAR-IIRR Hyderabad
Rice,Kharif,Flowering,35,0,30,0,0,0,5.5,7.0,ICAR-IIRR Hyderabad
Wheat,Rabi,Basal,60,60,40,15,5,0,6.0,7.5,ICAR-IARI New Delhi
Wheat,Rabi,Vegetative,35,0,0,0,0,0,6.0,7.5,ICAR-IARI New Delhi
Wheat,Rabi,Flowering,35,0,20,0,0,0,6.0,7.5,ICAR-IARI New Delhi
Maize,Kharif,Basal,45,60,40,15,5,0,5.5,7.5,ICAR-IIMR Ludhiana
Maize,Kharif,Vegetative,50,0,0,0,0,0,5.5,7.5,ICAR-IIMR Ludhiana
Maize,Kharif,Flowering,35,0,20,0,0,0,5.5,7.5,ICAR-IIMR Ludhiana
Cotton,Kharif,Basal,35,60,30,15,5,0,6.0,8.0,ICAR-CICR Nagpur
Cotton,Kharif,Vegetative,65,0,0,0,0,0,6.0,8.0,ICAR-CICR Nagpur
Cotton,Kharif,Flowering,40,0,40,0,0,0,6.0,8.0,ICAR-CICR Nagpur
Groundnut,Kharif,Basal,12.5,40,25,20,5,1,5.5,7.0,ICAR-DGR Junagadh
Groundnut,Kharif,Vegetative,5,0,0,0,0,0,5.5,7.0,ICAR-DGR Junagadh
Groundnut,Kharif,Flowering,7.5,10,25,0,0,0,5.5,7.0,ICAR-DGR Junagadh
Sugarcane,All,Basal,90,80,60,20,5,0,6.0,7.5,ICAR-SBI Coimbatore
Sugarcane,All,Vegetative,90,0,0,0,0,0,6.0,7.5,ICAR-SBI Coimbatore
Sugarcane,All,Flowering,70,0,60,0,0,0,6.0,7.5,ICAR-SBI Coimbatore
Potato,Rabi,Basal,60,80,60,15,5,1,5.5,6.5,ICAR-CPRI Shimla
Potato,Rabi,Vegetative,50,0,0,0,0,0,5.5,6.5,ICAR-CPRI Shimla
Potato,Rabi,Flowering,30,0,60,0,0,0,5.5,6.5,ICAR-CPRI Shimla
Chickpea,Rabi,Basal,12,40,20,20,0,1,6.0,7.5,ICAR-IIPR Kanpur
Chickpea,Rabi,Vegetative,5,0,0,0,0,0,6.0,7.5,ICAR-IIPR Kanpur
Chickpea,Rabi,Flowering,5,10,10,0,0,0,6.0,7.5,ICAR-IIPR Kanpur
Mustard,Rabi,Basal,45,40,20,25,5,1.5,6.0,7.5,ICAR-DRMR Bharatpur
Mustard,Rabi,Vegetative,35,0,0,0,0,0,6.0,7.5,ICAR-DRMR Bharatpur
Mustard,Rabi,Flowering,15,0,20,0,0,0,6.0,7.5,ICAR-DRMR Bharatpur
Soybean,Kharif,Basal,12.5,40,20,20,5,0,6.0,7.0,ICAR-IISR Indore
Soybean,Kharif,Vegetative,5,0,0,0,0,0,6.0,7.0,ICAR-IISR Indore
Soybean,Kharif,Flowering,7.5,10,20,0,0,0,6.0,7.0,ICAR-IISR Indore
Tomato,All,Basal,45,60,40,15,5,1,6.0,7.0,ICAR-IIHR Bengaluru
Tomato,All,Vegetative,45,0,0,0,0,0,6.0,7.0,ICAR-IIHR Bengaluru
Tomato,All,Flowering,40,20,50,0,0,0,6.0,7.0,ICAR-IIHR Bengaluru
