Crop,Stage,Stage_Order,Days_After_Sowing,N_Split_Pct,P_Split_Pct,K_Split_Pct,Application_Method,Instructions
Rice,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Rice,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Rice,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Wheat,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Wheat,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Wheat,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Maize,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Maize,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Maize,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Cotton,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Cotton,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Cotton,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Groundnut,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Groundnut,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Groundnut,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Sugarcane,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Sugarcane,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Sugarcane,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Potato,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Potato,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Potato,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Chickpea,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Chickpea,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Chickpea,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Mustard,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Mustard,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Mustard,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Soybean,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Soybean,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Soybean,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Tomato,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Tomato,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Tomato,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Onion,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Onion,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Onion,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Chilli,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Chilli,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Chilli,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Brinjal,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Brinjal,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Brinjal,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Cabbage,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Cabbage,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Cabbage,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Cauliflower,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Cauliflower,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Cauliflower,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Banana,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Banana,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Banana,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Sunflower,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Sunflower,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Sunflower,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Tur (Pigeonpea),Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Tur (Pigeonpea),Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Tur (Pigeonpea),Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Green Gram (Moong),Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Green Gram (Moong),Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Green Gram (Moong),Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Black Gram (Urad),Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Black Gram (Urad),Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Black Gram (Urad),Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Lentil (Masoor),Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Lentil (Masoor),Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Lentil (Masoor),Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Bajra,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
Bajra,Active Vegetative,2,30,35,0,25,Top Dressing / Fertigation,Broadcast when crop completes early vegetative stage.
Bajra,Flowering & Grain Formation,3,60,25,0,25,Foliar Spray / Top Dressing,Apply during panicle initiation or flowering phase.
Jowar,Basal / At Sowing,1,0,40,100,50,Soil Application,Apply at the time of land preparation / sowing.
