Fertilizer_Name,Fertilizer_Type,Brand,N_pct,P_pct,K_pct,S_pct,Zn_pct,B_pct,Ca_pct,Mg_pct,Organic_Carbon_pct,Other_Micronutrients,Application_Method,Suitable_Crops,Suitable_Soil_Types,Suitable_Seasons,Water_Compatibility,Bag_Size_Kg,Price_Per_Bag_INR,Cost_Per_Kg_INR,Unit,Availability,Last_Updated,Remarks
Neem Coated Urea,Nitrogenous,IFFCO / NFL,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal / Top Dressing,All,All,All,Both,45,267,5.93,kg,High,2026-08-01,Govt subsidized mandatory neem-coated nitrogen source; slows release by 10-15%
Urea,Nitrogenous,Govt FCO Standard,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal / Top Dressing / Broadcasting,All,All,All,Both,45,267,5.93,kg,High,2026-08-01,Standard Nitrogen fertilizer; apply in splits to minimize leaching/volatilization
DAP (Di-Ammonium Phosphate),Phosphatic + Nitrogenous,IFFCO / KRIBHCO,18.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal Application,All,All,All,Both,50,1350,27.0,kg,High,2026-08-01,Most popular high-P starter fertilizer in India; apply at sowing near seed zone
Single Super Phosphate (SSP),Phosphatic + Sulphur,FCO Standard,0.0,16.0,0.0,11.0,0.0,0.0,19.0,0.0,0.0,,Basal Application,Oilseeds;Pulses;Cereals,All,All,Both,50,450,9.0,kg,High,2026-08-01,Cheapest source of Phosphorus + supplies 11% Sulphur and 19% Calcium; ideal for groundnut & mustard
MOP (Muriate of Potash),Potassic,IPL Standard,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal / Top Dressing,Cereals;Oilseeds;Fibres,All,All,Both,50,1700,34.0,kg,High,2026-08-01,Primary Potash source (60% K₂O); improves stalk strength and drought/disease resistance
NPK 12-32-16,Complex,IFFCO / Gromor,12.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal Application,Cereals;Oilseeds;Pulses,All,All,Both,50,1470,29.4,kg,High,2026-08-01,High-P balanced starter grade; ideal basal application for P-demanding crops
NPK 10-26-26,Complex,Gromor / Mahadhan,10.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal Application,Vegetables;Tubers;Fruits,All,All,Both,50,1470,29.4,kg,High,2026-08-01,High PK complex fertilizer; preferred for potato, onion, tomato, and groundnut
NPK 20-20-0-13,Complex + Sulphur,Factamfos / Gromor,20.0,20.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,,Basal Application,Cereals;Oilseeds,Black;Alluvial;Loamy,Kharif;Rabi,Both,50,1200,24.0,kg,High,2026-08-01,NP + Sulphur starter complex; excellent for wheat, paddy, mustard, and soybean
NPK 14-35-14,Complex,IFFCO Complex,14.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal Application,Cereals;Vegetables,All,All,Both,50,1450,29.0,kg,Medium,2026-08-01,High P starter grade; excellent for transplanted paddy and commercial vegetables
NPK 17-17-17,Complex,MFL Chennai,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal / Top Dressing,All,All,All,Both,50,1400,28.0,kg,Medium,2026-08-01,Perfectly balanced NPK starter grade for all crops
Ammonium Sulphate,Nitrogenous + Sulphur,GSFC / IFFCO,20.6,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,,Basal / Top Dressing,Oilseeds;Pulses;Cereals,All,All,Both,50,950,19.0,kg,High,2026-08-01,Supplies 20.6% N + 24% Sulphur; preferred top-dressing for oilseeds (groundnut, mustard)
Calcium Ammonium Nitrate (CAN),Nitrogenous + Secondary,NFL / RCF,25.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,Basal / Top Dressing,Cereals;Vegetables;Fruits,Acidic;Loamy;Alluvial,All,Both,50,900,18.0,kg,Medium,2026-08-01,Neutral fertilizer supplying N + Calcium; ideal for acidic soils
MAP (Mono-Ammonium Phosphate),Phosphatic + Nitrogenous,Coromandel,11.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Basal Application,All,All,All,Both,50,1750,35.0,kg,Medium,2026-08-01,Concentrated P source (52% P₂O₅) for rapid early root establishment
Sulphate of Potash (SOP),Potassic + Sulphur,IPL / Haifa,0.0,0.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,,Foliar / Fertigation / Basal,Vegetables;Fruits;Oilseeds,All,All,Both,50,4250,85.0,kg,Medium,2026-08-01,Chloride-free K source (50% K₂O + 18% S); premium choice for quality fruits/vegetables
Agricultural Gypsum (CaSO4),Secondary Nutrient + Soil Amendment,ICAR Recommended,0.0,0.0,0.0,18.6,0.0,0.0,23.3,0.0,0.0,,Soil Application / Pegging Stage,Groundnut;Oilseeds;Pulses,Alkaline;Sodic;Black;All,All,Both,50,250,5.0,kg,High,2026-08-01,Essential for Groundnut pegging phase (23% Ca + 18.6% S); ensures proper pod filling & oil %
Zinc Sulphate Heptahydrate (ZnSO4·7H2O),Micronutrient,FCO Standard,0.0,0.0,0.0,15.0,21.0,0.0,0.0,0.0,0.0,,Soil Application / Foliar Spray,Cereals;Vegetables;Fruits;Cotton,All,All,Both,10,600,60.0,kg,High,2026-08-01,Essential Zn source (21% Zn + 15% S); corrects zinc chlorosis in paddy, wheat, maize, cotton
