Crop_Name,Suitable_Season,State,Average_Cost_Per_Acre,Seed_Cost,Fertilizer_Cost,Labour_Cost,Irrigation_Cost,Machinery_Cost,Other_Cost,Total_Cost,Cost_Unit,Source,Last_Updated
rice,Kharif,West Bengal,26020,1800,4800,11200,2720,3800,1700,26020,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Punjab,30064,1800,4800,14000,3584,4180,1700,30064,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Uttar Pradesh,25482,1800,4800,10304,3200,3678,1700,25482,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Andhra Pradesh,27932,1800,4800,12320,3360,3952,1700,27932,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Telangana,27932,1800,4800,12320,3360,3952,1700,27932,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Tamil Nadu,28346,1800,4800,12544,3520,3982,1700,28346,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Odisha,24590,1800,4800,9856,2816,3618,1700,24590,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Bihar,24654,1800,4800,9856,2880,3618,1700,24654,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Assam,25670,1800,4800,10976,2624,3770,1700,25670,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Chhattisgarh,25228,1800,4800,10080,3200,3648,1700,25228,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Haryana,29682,1800,4800,13664,3584,4134,1700,29682,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Kerala,30472,1800,4800,15120,2720,4332,1700,30472,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Karnataka,27932,1800,4800,12320,3360,3952,1700,27932,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Maharashtra,27774,1800,4800,12096,3456,3922,1700,27774,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
